                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9393,                 18.729,                0.93803,                0.00029,                    0.5,                0.01057,                0.00251,                 1.2219,                 35.734,                 1.4735,              0.0004638,              0.0004638,              0.0004638
                      2,                0.78872,                 20.803,                0.77856,                0.00072,                   0.75,                0.22637,                 0.1517,                 1.2434,                   35.2,                   1.54,             0.00090911,             0.00090911,             0.00090911
                      3,                 1.0119,                 17.823,                0.93659,                0.00055,                    0.5,                0.25132,                0.11292,                 1.1925,                 33.385,                 1.6292,               0.001323,               0.001323,               0.001323
                      4,                0.89149,                 16.555,                0.93344,                0.00072,                   0.75,                0.16633,                0.10408,                 1.2983,                 30.197,                 1.7537,              0.0012875,              0.0012875,              0.0012875
                      5,                0.88362,                 17.459,                0.88395,                0.74941,                0.16667,                0.17506,                0.10726,                    1.4,                 31.052,                 1.9071,              0.0012404,              0.0012404,              0.0012404
                      6,                0.93132,                 19.402,                0.93114,                0.67842,                0.16667,                0.08462,                0.07556,                 1.8491,                 30.878,                  1.802,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.0723,                 15.936,                 1.0698,                0.65839,                0.16667,                0.05603,                0.01844,                 1.8781,                 29.588,                 2.0951,              0.0011461,              0.0011461,              0.0011461
                      8,                  1.302,                  15.32,                 1.2735,                0.60397,                0.16667,                0.04225,                0.01481,                  1.695,                  30.23,                 2.0364,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.1872,                 13.347,                 1.2284,                0.96486,                0.16667,                0.17007,                0.07317,                 1.3404,                 26.978,                 1.6384,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.1195,                 13.261,                 1.0901,                0.97144,                0.16667,                0.19026,                0.09408,                 1.1638,                 23.908,                 1.3975,              0.0010046,              0.0010046,              0.0010046
